start_id,relation_id,end_id
2008,19,1857
2014,19,1857
2622,19,1857
2014,21,1857
2688,21,1857
2158,21,1857
1061,35,1857
3425,35,1857
3272,35,1857
3725,35,1857
3866,35,1857
5044,35,1857
2697,35,1857
1320,35,1857
4618,35,1857
4975,35,1857
3994,35,1857
5175,35,1857
5633,35,1857
5983,35,1857
3409,35,1857
2614,35,1857
847,35,1857
848,35,1857
4262,35,1857
4647,35,1857
5077,35,1857
5115,35,1857
5930,35,1857
5074,35,1857
5075,35,1857
2564,35,1857
1901,35,1857
2701,35,1857
2379,35,1857
676,35,1857
2470,35,1857
5858,35,1857
4783,35,1857
4852,35,1857
4158,35,1857
5766,35,1857
5968,35,1857
1476,35,1857
5185,35,1857
4992,35,1857
4993,35,1857
1272,35,1857
5113,35,1857
1549,35,1857
1664,35,1857
5339,35,1857
419,35,1857
5111,35,1857
5960,35,1857
1649,35,1857
5632,35,1857
5634,35,1857
3326,35,1857
3331,35,1857
3332,35,1857
3333,35,1857
4135,35,1857
778,35,1857
5158,35,1857
865,35,1857
4456,35,1857
2665,35,1857
3329,35,1857
5083,35,1857
2747,35,1857
6004,35,1857
1695,35,1857
1696,35,1857
2316,35,1857
1526,35,1857
3875,35,1857
2584,35,1857
3948,35,1857
5810,35,1857
1823,35,1857
1191,35,1857
1298,35,1857
6316,35,1857
4931,35,1857
5511,35,1857
5510,35,1857
5655,35,1857
1282,35,1857
201,35,1857
1326,35,1857
257,35,1857
3516,35,1857
258,35,1857
3520,35,1857
259,35,1857
2594,35,1857
1409,35,1857
4160,35,1857
3529,35,1857
4161,35,1857
4162,35,1857
4164,35,1857
3532,35,1857
4165,35,1857
1410,35,1857
4168,35,1857
5538,35,1857
4534,35,1857
4540,35,1857
1956,35,1857
1742,35,1857
730,35,1857
2183,35,1857
790,35,1857
1508,35,1857
2129,35,1857
1825,35,1857
2094,35,1857
1534,35,1857
4050,35,1857
2530,35,1857
2957,35,1857
5836,35,1857
1782,35,1857
650,35,1857
5462,35,1857
2642,35,1857
3943,35,1857
1851,35,1857
4476,35,1857
4477,35,1857
209,35,1857
4802,35,1857
1347,35,1857
1468,35,1857
1649,38,1857
5810,38,1857
4534,38,1857
4545,38,1857
3504,38,1857
177,0,178
177,0,179
177,0,3486
177,0,180
177,0,4532
177,0,181
177,0,4154
177,0,3487
177,0,182
177,0,183
177,1,3588
177,1,3689
177,1,5690
177,1,4288
177,1,4712
177,1,5691
177,1,153
